Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1.0,3.0,10.0,1.02964448928833,1.010656714439390,1.0
1.0,3.0,11.0,0.8310373425483700,0.8329923748970030,1.0
1.0,3.0,12.0,2.0343716144561800,2.0269417762756300,1.0
1.0,4.0,0.0,1.2904040813446000,1.2911232709884600,1.0
1.0,4.0,1.0,0.8221842646598820,0.8217521905899050,1.0
1.0,4.0,2.0,1.1251941919326800,1.1247915029525800,1.0
1.0,4.0,3.0,1.063327670097350,1.0586984157562300,1.0
1.0,4.0,4.0,0.9728478789329530,0.9751310348510740,1.0
1.0,4.0,5.0,0.9294637441635130,0.9259653687477110,1.0
1.0,4.0,6.0,1.2883297204971300,1.2858705520629900,1.0
1.0,5.0,0.0,1.0035057067871100,1.0067265033721900,1.0
1.0,5.0,1.0,1.0407259464263900,1.0406768321991000,1.0
1.0,5.0,2.0,1.0257883071899400,1.0239591598510700,1.0
1.0,5.0,3.0,1.3138792514801000,1.3108874559402500,1.0
1.0,6.0,0.0,1.0916163921356200,1.092162847518920,1.0
1.0,6.0,1.0,0.9797823429107670,0.9805554747581480,1.0
1.0,6.0,2.0,1.0600957870483400,1.0561736822128300,1.0
1.0,6.0,3.0,0.9794760942459110,0.9811497926712040,1.0
1.0,6.0,4.0,1.062111735343930,1.0622915029525800,1.0
1.0,6.0,5.0,0.955842137336731,0.9550387263298040,1.0
1.0,6.0,6.0,1.036668062210080,1.036926031112670,1.0
1.0,6.0,7.0,1.0683103799819900,1.0653504133224500,1.0
1.0,6.0,8.0,1.0784344673156700,1.081481695175170,1.0
1.0,6.0,9.0,1.031808853149410,1.031495213508610,1.0
1.0,6.0,10.0,0.9854852557182310,0.984408438205719,1.0
1.0,6.0,11.0,1.265165090560910,1.2636597156524700,1.0
1.0,6.0,12.0,0.81717848777771,0.8184602856636050,1.0
1.0,6.0,13.0,1.2071019411087000,1.2025126218795800,1.0
1.0,7.0,0.0,1.0873782634735100,1.0874192714691200,1.0
1.0,7.0,1.0,1.0609936714172400,1.0562957525253300,1.0
1.0,7.0,2.0,1.1590402126312300,1.1562873125076300,1.0
1.0,7.0,3.0,1.0040830373764000,1.0040929317474400,1.0
1.0,7.0,4.0,1.1289409399032600,1.1300404071807900,1.0
1.0,7.0,5.0,1.0409964323043800,1.0356769561767600,1.0
1.0,7.0,6.0,1.0668331384658800,1.0672036409378100,1.0
1.0,7.0,7.0,1.029010534286500,1.0304572582244900,1.0
