Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1.0,1.0,19.0,,,1.0
1.0,2.0,22.0,,,1.0
1.0,3.0,49.0,1.0314936637878400,1.0126895904541000,1.0
1.0,4.0,2.0,0.7874184846878050,0.7854994535446170,1.0
1.0,5.0,10.0,0.9102259278297420,0.9047945737838750,1.0
1.0,6.0,0.0,0.6211347579956060,0.6187534332275390,1.0
1.0,7.0,20.0,0.6318392157554630,0.6305477023124700,1.0
1.0,8.0,22.0,0.6157928705215450,0.6154187917709350,1.0
1.0,9.0,8.0,0.567112147808075,0.5659167170524600,1.0
1.0,10.0,6.0,0.666262149810791,0.6655890345573430,1.0
1.0,11.0,4.0,0.8074023127555850,0.8054195642471310,1.0
1.0,12.0,3.0,0.9314452409744260,0.9324939250946050,1.0
1.0,13.0,21.0,0.5634539127349850,0.5613915920257570,1.0
1.0,14.0,7.0,0.6099777221679690,0.6063106656074520,1.0
1.0,15.0,2.0,0.574971616268158,0.5711526870727540,1.0
1.0,16.0,1.0,0.6026644706726070,0.5985932946205140,1.0
1.0,17.0,0.0,0.5316174626350400,0.529807448387146,1.0
1.0,18.0,5.0,0.6382196545600890,0.6401833295822140,1.0
1.0,19.0,8.0,0.586513876914978,0.5860975384712220,1.0
1.0,20.0,4.0,0.7221167087554930,0.7203171849250790,1.0
1.0,21.0,1.0,0.6907936334609990,0.6894306540489200,1.0
1.0,22.0,9.0,0.7268141508102420,0.7244328260421750,1.0
1.0,23.0,1.0,0.6426318883895870,0.6413342952728270,1.0
1.0,24.0,0.0,0.6266433000564580,0.6248003244400020,1.0
1.0,25.0,1.0,0.7785564661026000,0.7803349494934080,1.0
1.0,26.0,3.0,0.7221566438674930,0.7205101847648620,1.0
1.0,27.0,7.0,0.6819987297058110,0.6856738328933720,1.0
1.0,28.0,14.0,0.6172930598258970,0.6165891885757450,1.0
1.0,29.0,8.0,0.7144547700881960,0.7116475701332090,1.0
1.0,30.0,4.0,0.7018270492553710,0.6990565061569210,1.0
1.0,31.0,2.0,0.7955948114395140,0.792792797088623,1.0
1.0,32.0,3.0,0.718774676322937,0.7172646522521970,1.0
1.0,33.0,3.0,0.7772351503372190,0.7747067213058470,1.0
1.0,34.0,5.0,0.5899649262428280,0.586814284324646,1.0
1.0,35.0,4.0,0.7138357162475590,0.712258517742157,1.0
1.0,36.0,0.0,0.7896780967712400,0.7869745492935180,1.0
1.0,37.0,8.0,0.6638585925102230,0.6623060703277590,1.0
1.0,38.0,14.0,0.7600535154342650,0.7567164301872250,1.0
1.0,39.0,4.0,0.6448083519935610,0.6453712582588200,1.0
1.0,40.0,1.0,0.750770628452301,0.7473042607307430,1.0
1.0,41.0,0.0,0.6542140245437620,0.6497734785079960,1.0
1.0,42.0,2.0,0.7464076280593870,0.7475879788398740,1.0
1.0,43.0,1.0,0.6964273452758790,0.6939525008201600,1.0
1.0,44.0,4.0,0.7764581441879270,0.7750662565231320,1.0
1.0,45.0,18.0,0.5973358154296880,0.5990796089172360,1.0
